candidate_id,family,feature_recipe,model_type,threshold_method,calibration_method,split_name,fold_id,evaluation_level,n_predictions,n_features,threshold,roc_auc,pr_auc,balanced_accuracy,macro_f1,brier_score,sensitivity,specificity,ece
candidate_0009_89e1a1f5ed,d3_lite_plus_raw_gaze,d3_lite_raw_summary,extra_trees_d3,inner_balanced_accuracy,none,unseen_reader,0,official_trial_level_fold_mean,884,47,0.37,0.7471887634770888,0.553382486477391,0.6498203054806828,0.6339438762735694,0.15722513470527044,0.5377358490566038,0.7619047619047619,0.06405038185068977
candidate_0009_89e1a1f5ed,d3_lite_plus_raw_gaze,d3_lite_raw_summary,extra_trees_d3,inner_balanced_accuracy,none,unseen_reader,1,official_trial_level_fold_mean,906,47,0.37,0.6975553041729513,0.4795224330066211,0.6314312049606168,0.6061059852181054,0.17258805036448505,0.5392156862745098,0.7236467236467237,0.10391697655542208
candidate_0009_89e1a1f5ed,d3_lite_plus_raw_gaze,d3_lite_raw_summary,extra_trees_d3,inner_balanced_accuracy,none,unseen_reader,2,official_trial_level_fold_mean,799,47,0.28,0.8908032060440225,0.624825854251964,0.7876722280068771,0.6334528882755274,0.13312258241556546,0.9180327868852459,0.6573116691285081,0.18384664050159547
candidate_0009_89e1a1f5ed,d3_lite_plus_raw_gaze,d3_lite_raw_summary,extra_trees_d3,inner_balanced_accuracy,none,unseen_reader,3,official_trial_level_fold_mean,965,47,0.49,0.7728426998291247,0.4883638280018935,0.5813140782228973,0.5879498969938537,0.15523950486620625,0.2794759825327511,0.8831521739130435,0.07859823860881679
candidate_0009_89e1a1f5ed,d3_lite_plus_raw_gaze,d3_lite_raw_summary,extra_trees_d3,inner_balanced_accuracy,none,unseen_reader_and_text,0,official_trial_level_fold_mean,321,47,0.47000000000000003,0.6008230452674898,0.28942432871577334,0.49876543209876545,0.4966627350308749,0.2033265157900146,0.19753086419753085,0.8,0.08590400109845021
candidate_0009_89e1a1f5ed,d3_lite_plus_raw_gaze,d3_lite_raw_summary,extra_trees_d3,inner_balanced_accuracy,none,unseen_reader_and_text,1,official_trial_level_fold_mean,269,47,0.19,0.6621993127147767,0.6114684987251164,0.5387285223367697,0.4349364289662797,0.2062904398217843,0.7733333333333333,0.30412371134020616,0.17961619808998602
candidate_0009_89e1a1f5ed,d3_lite_plus_raw_gaze,d3_lite_raw_summary,extra_trees_d3,inner_balanced_accuracy,none,unseen_reader_and_text,2,official_trial_level_fold_mean,404,47,0.68,0.7858953962414237,0.7800194387793511,0.692378442875609,0.6846213895394223,0.18679366727835645,0.4157303370786517,0.9690265486725663,0.10397979994395361
candidate_0009_89e1a1f5ed,d3_lite_plus_raw_gaze,d3_lite_raw_summary,extra_trees_d3,inner_balanced_accuracy,none,unseen_reader_and_text,3,official_trial_level_fold_mean,234,47,0.41000000000000003,0.5377533783783783,0.3606340203057673,0.5642736486486487,0.5643690349946978,0.23538776253900343,0.2972972972972973,0.83125,0.12954461336204373
candidate_0009_89e1a1f5ed,d3_lite_plus_raw_gaze,d3_lite_raw_summary,extra_trees_d3,inner_balanced_accuracy,none,unseen_text,0,official_trial_level_fold_mean,913,47,0.28,0.9336057413092176,0.8371670903969903,0.8366312674576177,0.7504263376038787,0.09266311130115647,0.9313725490196079,0.7418899858956276,0.10352343902492936
candidate_0009_89e1a1f5ed,d3_lite_plus_raw_gaze,d3_lite_raw_summary,extra_trees_d3,inner_balanced_accuracy,none,unseen_text,1,official_trial_level_fold_mean,861,47,0.42000000000000004,0.916779502554927,0.7506688413550038,0.7739494172832342,0.776145596360091,0.0994748450141116,0.639344262295082,0.9085545722713865,0.08178338202796998
