outcome,outcome_kind,term,estimate,std_error,p_value,ci_low,ci_high,n_obs,model_type
log_total_fixation_duration,linear,reader_group_x_word_length_chars_z,0.025184261516895155,0.024025906926187147,0.0,0.0022644664722509455,0.06648979443849914,62354,ridge_linear_regression
log_total_fixation_duration,linear,log_corpus_frequency_z,0.0128805960490258,0.007765220676837497,0.3333333333333333,-0.00276209473224068,0.02171780020234161,62354,ridge_linear_regression
log_total_fixation_duration,linear,reader_group_x_log_corpus_frequency_z,0.009107359336997882,0.019677507412925628,0.16666666666666666,-0.0033740399382829423,0.053688665330108375,62354,ridge_linear_regression
log_total_fixation_duration,linear,dfm_lm_word_surprisal_z,0.05366364703160425,0.007227923147959509,0.0,0.03369621534539997,0.05813856773118632,62354,ridge_linear_regression
log_total_fixation_duration,linear,reader_group_x_dfm_lm_word_surprisal_z,0.03553920838947942,0.014881193723285039,0.0,0.02295676135377515,0.06416926228811826,62354,ridge_linear_regression
log_total_fixation_duration,linear,dfm_lm_word_entropy_z,0.00550215861867188,0.004778787942114881,0.0,0.0009862230390824045,0.014058320461622933,62354,ridge_linear_regression
log_total_fixation_duration,linear,reader_group_x_dfm_lm_word_entropy_z,0.0002306017322644045,0.012592001516767494,0.5,-0.030269412518245803,0.009671240100321856,62354,ridge_linear_regression
log_total_fixation_duration,linear,prev_boundary_opacity_score_z,-0.0013089694019403156,0.005755577642149059,0.8333333333333334,-0.008629242231004653,0.007748985972141202,62354,ridge_linear_regression
log_total_fixation_duration,linear,reader_group_x_prev_boundary_opacity_score_z,-0.019178027565713962,0.010545417957620623,0.0,-0.042210763193102574,-0.009700420641672657,62354,ridge_linear_regression
log_total_fixation_duration,linear,vv_indicator_z,-0.0007357593229354183,0.0050579797442794365,0.6666666666666666,-0.009325145185389861,0.006188748308491264,62354,ridge_linear_regression
log_total_fixation_duration,linear,reader_group_x_vv_indicator_z,0.008854472018303477,0.011917132715459954,0.5,-0.008187745433945024,0.03054170600217001,62354,ridge_linear_regression
log_total_fixation_duration,linear,sentence_length_words_z,0.0061523804165738525,0.007631047194372314,0.3333333333333333,-0.006461807738548481,0.018420457345196494,62354,ridge_linear_regression
log_total_fixation_duration,linear,reader_group_x_sentence_length_words_z,0.004164235936067297,0.016266621053966708,0.6666666666666666,-0.021854780320200756,0.030894326516425277,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_10440,0.05393809990166552,0.06814576636294677,0.16666666666666666,-0.02500905681040297,0.19561324835339958,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_11171,0.12481247150497787,0.0573965890413466,0.0,0.0355580060581763,0.20359670972890292,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_1125,0.09203103537763112,0.08104030703174353,0.16666666666666666,0.0039125632183472855,0.26025408367431896,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_1165,0.10664692709412606,0.10821406209333617,0.3333333333333333,-0.07748810369697927,0.21377830675701906,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_12063,0.08073037847607824,0.05511370013055252,0.16666666666666666,-0.027034004138278004,0.14622303779003415,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_1317,0.13256238072656806,0.10043576346015852,0.16666666666666666,-0.010726249067693847,0.3169265288281188,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_1318,0.02965321516247813,0.09314021657839514,0.3333333333333333,-0.11093163939963702,0.16585355962992016,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_1323,0.013385758687893521,0.051597644400999204,0.8333333333333334,-0.08174684899193732,0.08462411978012302,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_17526,0.09018291728377793,0.06879481979000371,0.0,0.048055819138871046,0.2391975349416826,62354,ridge_linear_regression
log_total_fixation_duration,linear,speech_18473,0.18083902105658972,0.08525726402053067,0.0,0.037205845825872545,0.3204870612928796,62354,ridge_linear_regression
