outcome,outcome_kind,term,estimate,std_error,p_value,ci_low,ci_high,n_obs,model_type,model_family
log_first_pass_duration,linear,speech_7946,0.04459701989161048,0.05044723800645694,0.6666666666666666,-0.04309772512232581,0.10470380020048943,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,intercept,5.573332571522561,,,,,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,prev_boundary_opacity_score_z,-0.0077876325957336795,0.014015153068025962,0.6666666666666666,-0.02975134624506451,0.013807764438133339,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,vv_indicator_z,0.003687765863700556,0.005166553826495865,0.16666666666666666,-0.0007658927052662135,0.015973884580237453,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,vocoid_run_cross_boundary_z,0.002730746802574858,0.012732515872086616,0.8333333333333334,-0.017880195806749377,0.017064824271609286,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,word_length_chars_z,0.15266145482620946,0.009181261182359282,0.0,0.14111216357202228,0.16790773736067577,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,log_corpus_frequency_z,0.003331016394317826,0.007189568407726902,1.0,-0.013309424276545757,0.008692670554687401,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,dfm_lm_word_surprisal_z,0.04569202174502738,0.005097232806590327,0.0,0.035392828638454464,0.049960418998897846,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,dfm_lm_word_entropy_z,0.0009496066187103289,0.006780174576694388,0.6666666666666666,-0.009459730525456688,0.01055733974144907,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,sentence_length_words_z,0.002541487227057327,0.004936262557281231,0.8333333333333334,-0.0036911259460528836,0.010309436714846474,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,word_position_in_sentence_norm_z,0.013783327684552154,0.005326475342417888,0.0,0.003130150612740174,0.02056636604710112,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_10440,0.017369303483868528,0.082047884364036,0.8333333333333334,-0.13983820765773283,0.12466286591024658,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_11171,0.13291809179274694,0.09493185181111129,0.16666666666666666,0.0029287714688757457,0.31232430284325774,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_1125,0.13412422254052705,0.09244169378862455,0.16666666666666666,-0.026255534986181963,0.2520821702855464,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_1165,0.11318121342333362,0.08648105320853545,0.16666666666666666,-0.011487103812157073,0.24107508541454256,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_12063,0.03642698001442744,0.09419289869036207,1.0,-0.2090628274029973,0.1011416871237732,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_1317,0.20618361650622738,0.08979458711969968,0.0,0.03410096058627273,0.30425172624030683,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_1318,0.06629652960107207,0.07451627576538615,0.3333333333333333,-0.05213127677222385,0.19895563655111045,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_1323,0.05381500264984626,0.10717401647996502,0.5,-0.13251520907319414,0.1960527476530619,62306,ridge_linear_regression,opacity_controlled
log_go_past_time,linear,speech_17526,0.08402127212464568,0.05975573872860776,0.5,-0.016027448843273864,0.1537512403990978,62306,ridge_linear_regression,opacity_controlled
