evaluation_level,split_regime,feature_group,prefix_type,prefix_value,threshold_source,n_readers,n_prefix_rows,unstable_prefix_rate,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept,source_name
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,trial_or_text_prefix,3,fixed_0_5,43.0,43.0,0.0,0.48787878787878786,0.3572360178282217,0.4833333333333333,0.4798387096774194,0.2628687559748379,0.3,0.6666666666666666,0.3333333333333333,0.7,0.26081959959920126,0.0029401519394485318,0.2346342384884807,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,trial_or_text_prefix,all,fixed_0_5,57.0,57.0,0.0,0.6218836565096952,0.4938468591951565,0.6052631578947368,0.6052631578947368,0.2595579526711649,0.47368421052631576,0.7368421052631579,0.2631578947368421,0.5263157894736842,0.20081214252196697,0.04869093208917835,0.3429714479896301,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,word_count_prefix,100,fixed_0_5,57.0,57.0,0.0,0.47091412742382277,0.3817642525604088,0.5,0.48976982097186705,0.3018192141463643,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.3262256594307021,0.013273264298145035,0.3398882829855993,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,word_count_prefix,1000,fixed_0_5,57.0,57.0,0.0,0.5270083102493075,0.4478425148955289,0.5526315789473684,0.5476190476190476,0.2807394945323263,0.47368421052631576,0.631578947368421,0.3684210526315789,0.5263157894736842,0.2798051066447595,0.03980863579489401,0.34115690265665377,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,word_count_prefix,250,fixed_0_5,57.0,57.0,0.0,0.5006925207756232,0.40498245985613773,0.5131578947368421,0.5043478260869565,0.2946114716188788,0.47368421052631576,0.5526315789473685,0.4473684210526316,0.5263157894736842,0.31992015201058077,0.002855081195610023,0.33450395391804966,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,word_count_prefix,50,fixed_0_5,57.0,57.0,0.0,0.3843490304709141,0.2942259539184759,0.4342105263157895,0.43091787439613527,0.32479218235912893,0.3684210526315789,0.5,0.5,0.631578947368421,0.3549602256373397,-0.03515061379611343,0.31899799014479835,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,word_count_prefix,500,fixed_0_5,57.0,57.0,0.0,0.4903047091412742,0.36710702937753126,0.5131578947368421,0.5043478260869565,0.29855009956722794,0.47368421052631576,0.5526315789473685,0.4473684210526316,0.5263157894736842,0.2891038413228354,-0.01566983133337426,0.32724387473347644,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,word_count_prefix,all,fixed_0_5,57.0,57.0,0.0,0.6218836565096952,0.4938468591951565,0.6052631578947368,0.6052631578947368,0.2595579526711649,0.47368421052631576,0.7368421052631579,0.2631578947368421,0.5263157894736842,0.20081214252196697,0.04869093208917835,0.3429714479896301,
trial_or_prefix_level,participant_grouped_kfold,dfm_residual_gaze_prefix,chronological_prefix,100,fixed_0_5,57.0,57.0,0.0,0.6966759002770082,0.5443862466939897,0.631578947368421,0.6144927536231883,0.28732253498088,0.631578947368421,0.631578947368421,0.3684210526315789,0.3684210526315789,0.2795768064213634,0.034909534395848645,0.3471766773402091,
trial_or_prefix_level,participant_grouped_kfold,dfm_residual_gaze_prefix,chronological_prefix,1000,fixed_0_5,57.0,57.0,0.0,0.8628808864265928,0.8228061204125023,0.7368421052631579,0.7199475925319359,0.16566637031962644,0.7368421052631579,0.7368421052631579,0.2631578947368421,0.2631578947368421,0.15387434571982925,0.06386135982553928,0.3602341203631196,
trial_or_prefix_level,participant_grouped_kfold,dfm_residual_gaze_prefix,chronological_prefix,250,fixed_0_5,57.0,57.0,0.0,0.8268698060941828,0.6874324289940368,0.763157894736842,0.740909090909091,0.20840236550054728,0.7894736842105263,0.7368421052631579,0.2631578947368421,0.21052631578947367,0.22354838251639697,0.05191299003391239,0.36496081776138073,
