oracle_variant,group_key,threshold,clean_result,official_claim_allowed,benchmark_relative_claim_allowed,n_candidate_thresholds,information_bits,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept
test_oracle_threshold_by_regime,unseen_reader|dfm_residual_plus_uncertainty_prefix|uncertainty_weighted_logit,0.07,False,False,False,289,8.174925682500678,0.7706587938205586,0.6023018458174252,0.7468879976232918,0.6981397867681993,0.23631117164861576,0.8694444444444445,0.6243315508021391,0.37566844919786097,0.13055555555555556,0.2122755853939991,0.03517635128821169,0.3548852066881805
test_oracle_threshold_by_regime,unseen_reader_and_text|all_allowed_online|beta_binomial_posterior,0.44,False,False,False,302,8.238404739325079,0.6975218658892128,0.6811859072980244,0.6690051020408163,0.6606041292026132,0.23288255673010227,0.7755102040816326,0.5625,0.4375,0.22448979591836735,0.12459861744322795,0.13922249682341922,0.45110099852842966
test_oracle_threshold_by_regime,unseen_reader_and_text|all_allowed_online|entropy_weighted,0.39,False,False,False,286,8.159871336778389,0.6997995626822158,0.6872642506318882,0.6830357142857143,0.6751296751296751,0.2926043213868427,0.7857142857142857,0.5803571428571429,0.41964285714285715,0.21428571428571427,0.2569421415358476,0.039483026831248574,0.4214543605484131
test_oracle_threshold_by_regime,unseen_reader_and_text|all_allowed_online|learned_meta_aggregator,0.226906,False,False,False,302,8.238404739325079,0.7220298833819242,0.6877028892947232,0.7340561224489797,0.7282695058000954,0.2238888339204549,0.8163265306122449,0.6517857142857143,0.3482142857142857,0.1836734693877551,0.1582450924424858,0.16664101715927615,0.6367858094386972
test_oracle_threshold_by_regime,unseen_reader_and_text|all_allowed_online|logit_mean,0.39,False,False,False,285,8.154818109052105,0.7103680758017492,0.6809050702302404,0.6875,0.6800745810500466,0.2923404822714907,0.7857142857142857,0.5892857142857143,0.4107142857142857,0.21428571428571427,0.26756830541011495,0.03811830414111042,0.42434608343557806
test_oracle_threshold_by_regime,unseen_reader_and_text|all_allowed_online|mean_probability,0.416892,False,False,False,286,8.159871336778389,0.678753644314869,0.6655172893587178,0.6543367346938775,0.6464646464646464,0.2807054530986589,0.7551020408163265,0.5535714285714286,0.44642857142857145,0.24489795918367346,0.22124801740494948,0.039371514752792415,0.42214797964649414
test_oracle_threshold_by_regime,unseen_reader_and_text|all_allowed_online|reliability_weighted_probability,0.39194,False,False,False,287,8.164906926675688,0.6861333819241983,0.6690999839745116,0.6600765306122449,0.6505982905982906,0.2755117472839847,0.7755102040816326,0.5446428571428571,0.45535714285714285,0.22448979591836735,0.21130942367891634,0.040061791365564495,0.42310900826508074
test_oracle_threshold_by_regime,unseen_reader_and_text|all_allowed_online|uncertainty_weighted_logit,0.23,False,False,False,269,8.071462362556623,0.7192055393586005,0.6587235993040945,0.6938775510204082,0.6838792081014506,0.292292059597946,0.8163265306122449,0.5714285714285714,0.42857142857142855,0.1836734693877551,0.28179463968803703,0.029781863054648385,0.4306010034855775
test_oracle_threshold_by_regime,unseen_reader_and_text|dfm_residual_plus_uncertainty_prefix|beta_binomial_posterior,0.350434,False,False,False,302,8.238404739325079,0.5901056851311953,0.5154620802553926,0.628188775510204,0.6155606407322655,0.28015883555729143,0.7653061224489796,0.49107142857142855,0.5089285714285714,0.23469387755102042,0.2034050864869828,0.05735763491246171,0.4683285704825666
test_oracle_threshold_by_regime,unseen_reader_and_text|dfm_residual_plus_uncertainty_prefix|entropy_weighted,0.048131,False,False,False,294,8.199672344836364,0.5767128279883382,0.4965793084231736,0.6262755102040816,0.5915947253581254,0.3490011779648626,0.8775510204081632,0.375,0.625,0.12244897959183673,0.3137961337852666,0.014140852801157715,0.4631146610567601
test_oracle_threshold_by_regime,unseen_reader_and_text|dfm_residual_plus_uncertainty_prefix|learned_meta_aggregator,0.228062,False,False,False,302,8.238404739325079,0.6852223032069971,0.5451251716875047,0.7047193877551021,0.6924485125858124,0.23725526805250163,0.8469387755102041,0.5625,0.4375,0.15306122448979592,0.1770934319746131,0.16605149805795955,0.6147262261283277
