split_regime,feature_group,accumulator,prefix_type,prefix_value,n_readers,n_probability_rows,probability_variance,improvement_over_simple_mean_AUROC,improvement_over_single_trial_d3_lite_AUROC,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept,simple_mean_AUROC,d3_lite_trial_AUROC
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,trial_or_text_prefix,3,43,43,0.044452635928880595,-0.02121212121212135,,0.7757575757575756,0.5826190476190476,0.6893939393939394,0.6959937156323645,0.13920947478802348,0.5,0.8787878787878788,0.12121212121212122,0.5,0.05878495982262329,0.16899403004319422,0.46718426389648626,0.796969696969697,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,trial_or_text_prefix,all,57,57,0.0712565763819952,0.0027700831024930483,,0.8988919667590027,0.827106712425272,0.8157894736842105,0.8323529411764705,0.11860417816183791,0.6842105263157895,0.9473684210526315,0.05263157894736842,0.3157894736842105,0.09859775399960255,0.1807938905607087,0.6154653505488982,0.8961218836565097,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,word_count_prefix,100,57,57,0.06284793585333749,-0.023545706371191244,,0.7188365650969528,0.5583921776716476,0.7105263157894737,0.7158119658119658,0.1845069077347188,0.5789473684210527,0.8421052631578947,0.15789473684210525,0.42105263157894735,0.17892774781871468,0.13721491206345052,0.4897615050726337,0.7423822714681441,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,word_count_prefix,1000,57,57,0.06420034072943354,-0.04155124653739617,,0.8240997229916898,0.6418008807124009,0.6973684210526316,0.6998946998947,0.15856421819394814,0.5789473684210527,0.8157894736842105,0.18421052631578946,0.42105263157894735,0.11750793641168676,0.1984832498248271,0.5071694169887065,0.8656509695290859,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,word_count_prefix,250,57,57,0.0660656228792038,-0.013850415512465353,,0.7922437673130194,0.6412430059180354,0.7236842105263157,0.7236842105263157,0.1715995221634456,0.631578947368421,0.8157894736842105,0.18421052631578946,0.3684210526315789,0.10936088445076933,0.16822363482855424,0.4980411277019605,0.8060941828254847,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,word_count_prefix,50,57,57,0.06025994761081726,-0.0373961218836566,,0.6814404432132963,0.48056169307309926,0.6052631578947368,0.6089939024390244,0.2313626960473577,0.3684210526315789,0.8421052631578947,0.15789473684210525,0.631578947368421,0.19119391178178172,0.09174344265677582,0.46467996140565077,0.7188365650969529,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,word_count_prefix,500,57,57,0.06409497506834723,-0.024930747922437768,,0.8227146814404431,0.6409503148707971,0.763157894736842,0.7732368896925859,0.15309385796248437,0.631578947368421,0.8947368421052632,0.10526315789473684,0.3684210526315789,0.13272191632985716,0.1949925239525383,0.5254408011184857,0.8476454293628809,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,word_count_prefix,all,57,57,0.06642855990001625,0.0166204986149584,,0.8988919667590027,0.8182064718906825,0.7894736842105263,0.8080808080808081,0.12329778828790684,0.631578947368421,0.9473684210526315,0.05263157894736842,0.3684210526315789,0.09861355192617087,0.18267822551436713,0.6314911571838188,0.8822714681440443,
text_balanced_unseen_reader,all_allowed_online,logit_mean,chronological_prefix,100,57,57,0.1590847133222143,0.0041551246537396835,,0.7700831024930749,0.618137689744338,0.6842105263157895,0.6668831168831169,0.23451540402961477,0.6842105263157895,0.6842105263157895,0.3157894736842105,0.3157894736842105,0.2448282238900864,0.043544405416271546,0.3602010492066356,0.7659279778393352,
text_balanced_unseen_reader,all_allowed_online,logit_mean,chronological_prefix,1000,57,57,0.16294237800609848,0.0027700831024930483,,0.871191135734072,0.7886420653760611,0.763157894736842,0.740909090909091,0.16771389000175171,0.7894736842105263,0.7368421052631579,0.2631578947368421,0.21052631578947367,0.1699812311436925,0.059417484938304836,0.37602204537119127,0.868421052631579,
