analysis_row,source_name,candidate_id,feature_group,model,evaluation_level,split_regime,threshold_source,official_claim_allowed,AUROC,PR-AUC,BA,macro_F1,Brier,calibration_slope,calibration_intercept,threshold,n_candidate_thresholds,information_bits,notes
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_text,fixed_0_5,True,0.8037456452920501,0.4882081362343988,0.7190751996721602,0.6766554873697731,0.18519423307191368,0.5487686943891612,-1.3141990545612252,0.5,,,identity calibrator; no fitted calibration used.
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,fixed_0_5,True,0.6717077659406754,0.40913586965734106,0.6273095097418682,0.6007905248939791,0.21991607713351136,0.7693790571458392,-1.2774335948138913,0.5,,,identity calibrator; no fitted calibration used.
legal_calibrated_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,fixed_0_5,True,0.6317745695839312,0.5177738043808358,0.5877510760401722,0.5855284784988157,0.23181116670013321,0.5975807276646246,-0.6891994630324927,0.5,,,identity calibrator; no fitted calibration used.
legal_calibrated_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,fixed_0_5,True,0.6829267379886782,0.41629234208814175,0.6339776453257324,0.6075277884862503,0.2172196044167465,0.8346405481164287,-1.2801645319649284,0.5,,,identity calibrator; no fitted calibration used.
legal_calibrated_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,official_alignment_d3_full_feature,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
