split_regime,prefix_type,prefix_value,feature_family,source_feature_group,calibrator,threshold,accumulator,n_readers,n_prefix_rows,unstable_prefix_rate,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept
unseen_reader,word_count_prefix,100,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,57,57,0.0,0.7534626038781164,0.5945542904487895,0.6973684210526316,0.6826072715361939,0.254040175775327,0.6842105263157895,0.7105263157894737,0.2894736842105263,0.3157894736842105,0.2732929535762702,0.032620377872952515,0.3518345616495213
unseen_reader,word_count_prefix,1000,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,57,57,0.0,0.8462603878116344,0.7083671740027773,0.7763157894736843,0.7572879135276778,0.20947634746152566,0.7894736842105263,0.7631578947368421,0.23684210526315788,0.21052631578947367,0.2235443638275466,0.03785685987152458,0.366262355386582
unseen_reader,word_count_prefix,250,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,57,57,0.0,0.8130193905817175,0.659537361684176,0.7236842105263157,0.7038961038961039,0.24124294898508655,0.7368421052631579,0.7105263157894737,0.2894736842105263,0.2631578947368421,0.24676023655204474,0.034757308939398074,0.3599158362006957
unseen_reader,word_count_prefix,50,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,57,57,0.0,0.7188365650969529,0.508264181995358,0.6973684210526316,0.6998946998947,0.24167487890099187,0.5789473684210527,0.8157894736842105,0.18421052631578946,0.42105263157894735,0.21671921224719026,0.027954265160586873,0.3544626794445696
unseen_reader,word_count_prefix,500,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,57,57,0.0,0.8365650969529086,0.7007886101623753,0.75,0.7246376811594203,0.22622205244965918,0.7894736842105263,0.7105263157894737,0.2894736842105263,0.21052631578947367,0.24588994575458512,0.03652454674524163,0.3603664632155387
unseen_reader,word_count_prefix,all,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,57,57,0.0,0.8725761772853184,0.7367710801022496,0.763157894736842,0.740909090909091,0.21024606636148246,0.7894736842105263,0.7368421052631579,0.2631578947368421,0.21052631578947367,0.221285713894349,0.03860388321737288,0.3753870846516978
unseen_reader,chronological_prefix,100,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,fixed_0_5,beta_binomial_posterior,57,57,0.0,0.6648199445983379,0.5407460648107023,0.631578947368421,0.623015873015873,0.2354204924028202,0.5789473684210527,0.6842105263157895,0.3157894736842105,0.42105263157894735,0.16769216325461767,0.10900220216938644,0.35923083466812916
unseen_reader,chronological_prefix,1000,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,fixed_0_5,beta_binomial_posterior,57,57,0.0,0.778393351800554,0.6780796582322455,0.7368421052631579,0.7199475925319359,0.17955470647091512,0.7368421052631579,0.7368421052631579,0.2631578947368421,0.2631578947368421,0.14846044586675228,0.15541097070074322,0.39053192353636706
unseen_reader,chronological_prefix,250,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,fixed_0_5,beta_binomial_posterior,57,57,0.0,0.7299168975069252,0.6222718812772909,0.6710526315789473,0.6607142857142857,0.21622807542633593,0.631578947368421,0.7105263157894737,0.2894736842105263,0.3684210526315789,0.14930607617434014,0.1291903485650893,0.3666978391762973
unseen_reader,chronological_prefix,50,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,fixed_0_5,beta_binomial_posterior,57,57,0.0,0.6537396121883656,0.4716944979895621,0.6710526315789473,0.6607142857142857,0.22488494336418807,0.631578947368421,0.7105263157894737,0.2894736842105263,0.3684210526315789,0.13281571239023415,0.15666230613991952,0.3622565825608084
