evidence_id,source_phase,model_name,candidate_id,split_regime,prefix_type,prefix_value,evidence_budget,feature_family,calibrator,threshold_policy,threshold_source,accumulator,evaluation_level,AUROC,PR_AUC,balanced_accuracy,macro_F1,Brier,n_readers,n_prefix_rows,stable_enough_rate,result_origin,result_scope,preferred_for_future_tables,notes
online_v2_prefix_00045,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,chronological_prefix,all,chronological_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.9002770083102493,0.8204225383726769,0.7894736842105263,0.8080808080808081,0.1214698251710021,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00046,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,speech_prefix,1,speech_prefix:1,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.8227146814404432,0.6513725544013528,0.7236842105263157,0.7236842105263157,0.1580657577833558,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00047,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,speech_prefix,2,speech_prefix:2,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.7912912912912913,0.6221164749546393,0.7515015015015015,0.7619047619047619,0.164125594307275,55.0,55.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00048,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,speech_prefix,3,speech_prefix:3,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.7727272727272726,0.5676190476190476,0.6893939393939394,0.6959937156323645,0.1388671527056945,43.0,43.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00049,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,speech_prefix,all,speech_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.8961218836565097,0.8296139379241874,0.8157894736842105,0.8323529411764705,0.1161737415532161,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00050,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,trial_or_text_prefix,1,trial_or_text_prefix:1,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.8199445983379502,0.6494307980967156,0.7368421052631579,0.73990873990874,0.157664606612008,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00051,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,trial_or_text_prefix,2,trial_or_text_prefix:2,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.7942942942942943,0.6242826215652303,0.765015015015015,0.7796474358974359,0.1638564119844627,55.0,55.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00052,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,trial_or_text_prefix,3,trial_or_text_prefix:3,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.7757575757575756,0.5826190476190476,0.6893939393939394,0.6959937156323645,0.1392094747880234,43.0,43.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00053,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,trial_or_text_prefix,all,trial_or_text_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.8988919667590027,0.827106712425272,0.8157894736842105,0.8323529411764705,0.1186041781618379,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00054,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,100,word_count_prefix:100,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.7188365650969528,0.5583921776716476,0.7105263157894737,0.7158119658119658,0.1845069077347188,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00055,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,1000,word_count_prefix:1000,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.8240997229916898,0.6418008807124009,0.6973684210526316,0.6998946998947,0.1585642181939481,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00056,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,250,word_count_prefix:250,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.7922437673130194,0.6412430059180354,0.7236842105263157,0.7236842105263157,0.1715995221634456,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00057,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,50,word_count_prefix:50,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.6814404432132963,0.4805616930730992,0.6052631578947368,0.6089939024390244,0.2313626960473577,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
