reconciliation_id,metric_name,model_name,candidate_id,split_regime,evaluation_level,source_phase,source_file,source_value,source_context,same_metric_as_others,conflict_group_id,exact_match_group_id,notes
recon_00036,balanced_accuracy,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,text_balanced_unseen_reader,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.8552631578947368,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013_balanced_accuracy,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00037,macro_F1,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,text_balanced_unseen_reader,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.845945945945946,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013_macro_F1,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00038,Brier,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,text_balanced_unseen_reader,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.1233145003217947,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013_Brier,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00039,AUROC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,leave_one_speech_out,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.8284880894506563,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014_AUROC,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00040,PR_AUC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,leave_one_speech_out,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.5547798448721939,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014_PR_AUC,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00041,balanced_accuracy,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,leave_one_speech_out,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.7443850267379679,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014_balanced_accuracy,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00042,macro_F1,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,leave_one_speech_out,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.6935457516339869,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014_macro_F1,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00043,Brier,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,leave_one_speech_out,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.1675926494208323,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0091_00014_Brier,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00044,AUROC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,participant_grouped_kfold,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.909972299168975,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015_AUROC,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00045,PR_AUC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,participant_grouped_kfold,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.8978873314433282,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015_PR_AUC,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00046,balanced_accuracy,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,participant_grouped_kfold,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.8552631578947368,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015_balanced_accuracy,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00047,macro_F1,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,participant_grouped_kfold,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.845945945945946,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015_macro_F1,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00048,Brier,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,participant_grouped_kfold,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.1233145003217947,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0111_00015_Brier,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00049,AUROC,D3_FullFeature_EyeBenchFolds,D3_FullFeature_EyeBenchFolds,unseen_reader,trial_level,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,0.8123123123123123,Copied from v1 canonical row OfficialAlignment_v1_1_unseen_reader_00019,True,,OfficialAlignment_v1_1_unseen_reader_00019_AUROC,EyeBench-fold-aligned_full-feature_non-official
recon_00050,balanced_accuracy,D3_FullFeature_EyeBenchFolds,D3_FullFeature_EyeBenchFolds,unseen_reader,trial_level,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,0.7387387387387387,Copied from v1 canonical row OfficialAlignment_v1_1_unseen_reader_00019,True,,OfficialAlignment_v1_1_unseen_reader_00019_balanced_accuracy,EyeBench-fold-aligned_full-feature_non-official
recon_00051,AUROC,D3_FullFeature_EyeBenchFolds,D3_FullFeature_EyeBenchFolds,unseen_text,trial_level,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,0.8140562248995985,Copied from v1 canonical row OfficialAlignment_v1_1_unseen_text_00020,True,,OfficialAlignment_v1_1_unseen_text_00020_AUROC,EyeBench-fold-aligned_full-feature_non-official
recon_00052,balanced_accuracy,D3_FullFeature_EyeBenchFolds,D3_FullFeature_EyeBenchFolds,unseen_text,trial_level,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,0.6975903614457831,Copied from v1 canonical row OfficialAlignment_v1_1_unseen_text_00020,True,,OfficialAlignment_v1_1_unseen_text_00020_balanced_accuracy,EyeBench-fold-aligned_full-feature_non-official
recon_00053,AUROC,D3_FullFeature_EyeBenchFolds,D3_FullFeature_EyeBenchFolds,unseen_reader_and_text,trial_level,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,0.724025974025974,Copied from v1 canonical row OfficialAlignment_v1_1_unseen_reader_and_text_00021,True,,OfficialAlignment_v1_1_unseen_reader_and_text_00021_AUROC,EyeBench-fold-aligned_full-feature_non-official
recon_00054,balanced_accuracy,D3_FullFeature_EyeBenchFolds,D3_FullFeature_EyeBenchFolds,unseen_reader_and_text,trial_level,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,0.711038961038961,Copied from v1 canonical row OfficialAlignment_v1_1_unseen_reader_and_text_00021,True,,OfficialAlignment_v1_1_unseen_reader_and_text_00021_balanced_accuracy,EyeBench-fold-aligned_full-feature_non-official
recon_00055,AUROC,D3_FullData_EyeBenchStyle,D3_FullData_EyeBenchStyle,unseen_reader,trial_level,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,0.8961218836565096,Copied from v1 canonical row OfficialAlignment_v1_2_unseen_reader_00022,True,,OfficialAlignment_v1_2_unseen_reader_00022_AUROC,internal_EyeBench-style_benchmark-relative
recon_00056,balanced_accuracy,D3_FullData_EyeBenchStyle,D3_FullData_EyeBenchStyle,unseen_reader,trial_level,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,0.8157894736842105,Copied from v1 canonical row OfficialAlignment_v1_2_unseen_reader_00022,True,,OfficialAlignment_v1_2_unseen_reader_00022_balanced_accuracy,internal_EyeBench-style_benchmark-relative
recon_00057,AUROC,D3_FullData_EyeBenchStyle,D3_FullData_EyeBenchStyle,unseen_text,trial_level,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,0.8284880894506563,Copied from v1 canonical row OfficialAlignment_v1_2_unseen_text_00023,True,,OfficialAlignment_v1_2_unseen_text_00023_AUROC,internal_EyeBench-style_benchmark-relative
recon_00058,balanced_accuracy,D3_FullData_EyeBenchStyle,D3_FullData_EyeBenchStyle,unseen_text,trial_level,OfficialEyeBenchAlignment_v1,analysis/official_eyebench_alignment_v1/tables/copco_typ_official_alignment_comparison.csv,0.7443850267379679,Copied from v1 canonical row OfficialAlignment_v1_2_unseen_text_00023,True,,OfficialAlignment_v1_2_unseen_text_00023_balanced_accuracy,internal_EyeBench-style_benchmark-relative
