evidence_id,source_phase,source_file,source_row_identifier,model_family,model_name,candidate_id,algorithm_regime,task,evaluation_level,split_regime,data_scope,prefix_type,prefix_value,evidence_budget,feature_family,calibrator,threshold_policy,threshold_source,accumulator,stopping_policy,clean_or_oracle,result_origin,result_scope,preferred_for_future_tables,preferred_for_future_figures,official_claim_allowed,benchmark_relative_claim_allowed,n_predictions,n_readers,n_trials,n_prefix_rows,coverage,AUROC,PR_AUC,balanced_accuracy,macro_F1,Brier,RMSE,MAE,R2,calibration_intercept,calibration_slope,CI_low,CI_high,p_value,metric_scale,value_source_text,source_trace_status,notes
D3OnlineTargetedOptimization_v1_online_prefix_00059_dup_00409,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,59,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,1,speech_prefix:1,all_allowed_online,,balanced_accuracy_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.84,0.7592857142857143,0.85,0.7963800904977376,0.2029629484379671,,,,0.3725473594038589,0.0498833725098809,,,,proportion_0_1_for_performance_metrics,Row 59 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00060_dup_00410,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,60,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,1,speech_prefix:1,all_allowed_online,,macro_f1_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.84,0.7592857142857143,0.85,0.7963800904977376,0.2029629484379671,,,,0.3725473594038589,0.0498833725098809,,,,proportion_0_1_for_performance_metrics,Row 60 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00061_dup_00411,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,61,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,1,speech_prefix:1,all_allowed_online,,target_sensitivity_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.84,0.7592857142857143,0.8,0.7321428571428572,0.2029629484379671,,,,0.3725473594038589,0.0498833725098809,,,,proportion_0_1_for_performance_metrics,Row 61 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00062_dup_00412,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,62,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,1,speech_prefix:1,all_allowed_online,,target_specificity_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.84,0.7592857142857143,0.85,0.7963800904977376,0.2029629484379671,,,,0.3725473594038589,0.0498833725098809,,,,proportion_0_1_for_performance_metrics,Row 62 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00063_dup_00413,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,63,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,2,speech_prefix:2,all_allowed_online,,fixed_0_5,fixed_0_5,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.7999999999999999,0.6428571428571428,0.725,0.6888888888888889,0.2103233831615949,,,,0.3942571628830292,0.0381218754399317,,,,proportion_0_1_for_performance_metrics,Row 63 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00064_dup_00414,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,64,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,2,speech_prefix:2,all_allowed_online,,global_inner_cv_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.7999999999999999,0.6428571428571428,0.725,0.6888888888888889,0.2103233831615949,,,,0.3942571628830292,0.0381218754399317,,,,proportion_0_1_for_performance_metrics,Row 64 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00065_dup_00415,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,65,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,2,speech_prefix:2,all_allowed_online,,split_regime_inner_cv_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.7999999999999999,0.6428571428571428,0.6,0.5906432748538011,0.2103233831615949,,,,0.3942571628830292,0.0381218754399317,,,,proportion_0_1_for_performance_metrics,Row 65 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00066_dup_00416,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,66,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,2,speech_prefix:2,all_allowed_online,,prefix_type_inner_cv_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.7999999999999999,0.6428571428571428,0.6,0.5906432748538011,0.2103233831615949,,,,0.3942571628830292,0.0381218754399317,,,,proportion_0_1_for_performance_metrics,Row 66 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00067_dup_00417,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,67,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,2,speech_prefix:2,all_allowed_online,,prefix_budget_inner_cv_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.7999999999999999,0.6428571428571428,0.575,0.5757575757575758,0.2103233831615949,,,,0.3942571628830292,0.0381218754399317,,,,proportion_0_1_for_performance_metrics,Row 67 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00068_dup_00418,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,68,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,2,speech_prefix:2,all_allowed_online,,balanced_accuracy_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.7999999999999999,0.6428571428571428,0.575,0.5757575757575758,0.2103233831615949,,,,0.3942571628830292,0.0381218754399317,,,,proportion_0_1_for_performance_metrics,Row 68 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00069_dup_00419,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,69,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,2,speech_prefix:2,all_allowed_online,,macro_f1_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.7999999999999999,0.6428571428571428,0.575,0.5757575757575758,0.2103233831615949,,,,0.3942571628830292,0.0381218754399317,,,,proportion_0_1_for_performance_metrics,Row 69 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00070_dup_00420,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,70,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,2,speech_prefix:2,all_allowed_online,,target_sensitivity_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.7999999999999999,0.6428571428571428,0.85,0.7754010695187166,0.2103233831615949,,,,0.3942571628830292,0.0381218754399317,,,,proportion_0_1_for_performance_metrics,Row 70 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00071_dup_00421,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,71,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,2,speech_prefix:2,all_allowed_online,,target_specificity_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.7999999999999999,0.6428571428571428,0.725,0.6888888888888889,0.2103233831615949,,,,0.3942571628830292,0.0381218754399317,,,,proportion_0_1_for_performance_metrics,Row 71 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00072_dup_00422,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,72,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,3,speech_prefix:3,all_allowed_online,,fixed_0_5,fixed_0_5,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.888888888888889,0.8333333333333333,0.7777777777777777,0.7777777777777777,0.1377436615395054,,,,0.3832532374484103,0.0841075030570444,,,,proportion_0_1_for_performance_metrics,Row 72 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00073_dup_00423,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,73,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,3,speech_prefix:3,all_allowed_online,,global_inner_cv_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.888888888888889,0.8333333333333333,0.7777777777777777,0.7777777777777777,0.1377436615395054,,,,0.3832532374484103,0.0841075030570444,,,,proportion_0_1_for_performance_metrics,Row 73 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00074_dup_00424,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,74,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,3,speech_prefix:3,all_allowed_online,,split_regime_inner_cv_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.888888888888889,0.8333333333333333,0.7777777777777777,0.7777777777777777,0.1377436615395054,,,,0.3832532374484103,0.0841075030570444,,,,proportion_0_1_for_performance_metrics,Row 74 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
