evidence_id,source_phase,source_file,baseline_model,split_regime,D3_BA,baseline_BA,D3_AUROC,baseline_AUROC,result_origin,result_scope,official_comparable_average,notes
external_baseline_00027,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,AhnCNN,unseen_text,0.6447368421052632,0.775,0.6883656509695291,0.857,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00028,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Random Forest,unseen_text,0.6447368421052632,0.815,0.6883656509695291,0.915,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00029,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Logistic Regression,unseen_text,0.6447368421052632,0.7659999999999999,0.6883656509695291,0.833,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00030,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,AhnCNN,unseen_reader,0.4958419958419958,0.777,0.5176715176715176,0.853,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00031,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Random Forest,unseen_reader,0.4958419958419958,0.698,0.5176715176715176,0.8009999999999999,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00032,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Logistic Regression,unseen_reader,0.4958419958419958,0.755,0.5176715176715176,0.831,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00033,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,AhnCNN,unseen_reader_and_text,0.5,0.6559999999999999,0.7857142857142857,0.7490000000000001,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00034,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Random Forest,unseen_reader_and_text,0.5,0.597,0.7857142857142857,0.659,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00035,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Logistic Regression,unseen_reader_and_text,0.5,0.635,0.7857142857142857,0.6890000000000001,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00036,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,AhnCNN,unseen_text,0.5596590909090909,0.775,0.6164772727272727,0.857,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00037,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Random Forest,unseen_text,0.5596590909090909,0.815,0.6164772727272727,0.915,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00038,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Logistic Regression,unseen_text,0.5596590909090909,0.7659999999999999,0.6164772727272727,0.833,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00039,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,AhnCNN,unseen_text,0.7546218487394958,0.775,0.8638655462184874,0.857,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00040,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Random Forest,unseen_text,0.7546218487394958,0.815,0.8638655462184874,0.915,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00041,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Logistic Regression,unseen_text,0.7546218487394958,0.7659999999999999,0.8638655462184874,0.833,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00042,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,best_provided_baseline,unseen_reader,0.8157894736842105,0.777,0.8988919667590027,0.853,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00043,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,best_provided_baseline,unseen_reader,0.763157894736842,0.777,0.7770083102493074,0.853,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00044,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,best_provided_baseline,unseen_reader_and_text,0.8194444444444444,0.6559999999999999,0.8333333333333333,0.7490000000000001,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00045,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,best_provided_baseline,unseen_text,0.6447368421052632,0.815,0.6883656509695291,0.915,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00046,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,best_provided_baseline,unseen_reader,0.6842105263157895,0.777,0.778393351800554,0.853,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00047,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,best_provided_baseline,unseen_reader_and_text,0.5833333333333333,0.6559999999999999,0.7013888888888888,0.7490000000000001,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00048,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,best_provided_baseline,unseen_text,0.738655462184874,0.815,0.7647058823529411,0.915,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00049,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,best_provided_baseline,unseen_reader,0.7763157894736843,0.777,0.7950138504155125,0.853,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00050,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,best_provided_baseline,unseen_reader_and_text,0.7013888888888888,0.6559999999999999,0.763888888888889,0.7490000000000001,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00051,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,best_provided_baseline,unseen_text,0.6827880512091038,0.815,0.7695590327169275,0.915,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00052,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,best_provided_baseline,unseen_reader,0.4958419958419958,0.777,0.5176715176715176,0.853,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00053,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,best_provided_baseline,unseen_reader_and_text,0.5,0.6559999999999999,0.7857142857142857,0.7490000000000001,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00054,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,best_provided_baseline,unseen_text,0.5596590909090909,0.815,0.6164772727272727,0.915,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00055,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,best_provided_baseline,unseen_text,0.7546218487394958,0.815,0.8638655462184874,0.915,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
