prefix_type,prefix_value,evidence_budget,split_regime,model_name,feature_family,calibrator,threshold_policy,accumulator,AUROC,PR_AUC,balanced_accuracy,Brier,macro_F1,n_readers,n_prefix_rows,notes
word_count_prefix,1000,word_count_prefix:1000,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.8240997229916898,0.6418008807124009,0.6973684210526316,0.1585642181939481,0.6998946998947,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,250,word_count_prefix:250,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.7922437673130194,0.6412430059180354,0.7236842105263157,0.1715995221634456,0.7236842105263157,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,50,word_count_prefix:50,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.6814404432132963,0.4805616930730992,0.6052631578947368,0.2313626960473577,0.6089939024390244,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,500,word_count_prefix:500,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.8227146814404431,0.6409503148707971,0.763157894736842,0.1530938579624843,0.7732368896925859,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,all,word_count_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.8988919667590027,0.8182064718906825,0.7894736842105263,0.1232977882879068,0.8080808080808081,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,100,chronological_prefix:100,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.7700831024930749,0.618137689744338,0.6842105263157895,0.2345154040296148,0.6668831168831169,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,1000,chronological_prefix:1000,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.871191135734072,0.7886420653760611,0.763157894736842,0.1677138900017517,0.740909090909091,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,250,chronological_prefix:250,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.8240997229916898,0.7187594404184499,0.7368421052631579,0.2106481827237409,0.7199475925319359,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,50,chronological_prefix:50,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.7188365650969529,0.508264181995358,0.6973684210526316,0.2416748789009918,0.6998946998947,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,500,chronological_prefix:500,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.8559556786703602,0.7655057536663423,0.763157894736842,0.1854999540259064,0.740909090909091,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,all,chronological_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.9002770083102493,0.8408256484687038,0.763157894736842,0.1441469842833177,0.7524223187437353,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,1,speech_prefix:1,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.871191135734072,0.7899925322828809,0.7894736842105263,0.1649907337695972,0.7738095238095238,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,2,speech_prefix:2,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.8723723723723724,0.7951881781852543,0.753003003003003,0.1666410746216083,0.7417840375586855,55.0,55.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,3,speech_prefix:3,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.806060606060606,0.5445642122547748,0.7136363636363636,0.1900211435326521,0.6692307692307693,43.0,43.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,all,speech_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.9127423822714682,0.8630218167308765,0.8157894736842105,0.1342393364499796,0.7946282345234196,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
trial_or_text_prefix,1,trial_or_text_prefix:1,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.868421052631579,0.7901614003007191,0.7894736842105263,0.1669413540814197,0.7738095238095238,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
trial_or_text_prefix,2,trial_or_text_prefix:2,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.8708708708708709,0.7876278108003255,0.7394894894894894,0.1673278864985324,0.7250000000000001,55.0,55.0,Outer-test per-prefix curve from strict v2 audit.
trial_or_text_prefix,3,trial_or_text_prefix:3,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.7969696969696969,0.5338314536340852,0.7136363636363636,0.1954320723707583,0.6692307692307693,43.0,43.0,Outer-test per-prefix curve from strict v2 audit.
trial_or_text_prefix,all,trial_or_text_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.907202216066482,0.8509156461902805,0.7894736842105263,0.138329211383528,0.7738095238095238,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,100,word_count_prefix:100,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.7506925207756232,0.5728791990099283,0.7105263157894737,0.2304909019867142,0.6984126984126984,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,1000,word_count_prefix:1000,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.8614958448753463,0.7766878100858183,0.7763157894736843,0.1735932036898977,0.7572879135276778,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,250,word_count_prefix:250,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.8019390581717452,0.6862602905938411,0.6973684210526316,0.2191804679444976,0.6826072715361939,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,50,word_count_prefix:50,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.7188365650969529,0.508264181995358,0.6973684210526316,0.2416748789009918,0.6998946998947,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,500,word_count_prefix:500,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.8393351800554016,0.735761776992782,0.75,0.1950170678044226,0.7246376811594203,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,all,word_count_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,logit_mean,0.889196675900277,0.824284187979875,0.763157894736842,0.1506640849143734,0.7524223187437353,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,100,chronological_prefix:100,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,mean_probability,0.7659279778393352,0.6245295682364223,0.6842105263157895,0.2145138090894417,0.6668831168831169,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,1000,chronological_prefix:1000,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,mean_probability,0.868421052631579,0.7930017718348124,0.7894736842105263,0.1533882617732569,0.7738095238095238,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,250,chronological_prefix:250,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,mean_probability,0.8337950138504155,0.7487532097624865,0.7236842105263158,0.1851176605110723,0.71433344470431,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,50,chronological_prefix:50,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,mean_probability,0.7188365650969529,0.508264181995358,0.6973684210526316,0.2416748789009918,0.6998946998947,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,500,chronological_prefix:500,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,mean_probability,0.8573407202216066,0.7806313590949814,0.763157894736842,0.1657593671042535,0.740909090909091,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
chronological_prefix,all,chronological_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,mean_probability,0.8864265927977839,0.8282667691504859,0.7763157894736843,0.1331421878037689,0.7572879135276778,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,1,speech_prefix:1,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,mean_probability,0.8642659279778393,0.7930443274430563,0.763157894736842,0.1493350592867007,0.7524223187437353,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,2,speech_prefix:2,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,mean_probability,0.8618618618618619,0.7829427103581694,0.7672672672672673,0.1487855068532267,0.7472605160834218,55.0,55.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,3,speech_prefix:3,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,mean_probability,0.793939393939394,0.5607014472455649,0.7136363636363636,0.1712165105519003,0.6692307692307693,43.0,43.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,all,speech_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,mean_probability,0.9002770083102493,0.8561369366972083,0.8289473684210527,0.1259592001472456,0.8115079365079365,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
