source_phase,split_regime,feature_group,feature_family,accumulator,threshold_source,stopping_policy,coverage,undecided_rate,mean_words_to_decision,mean_texts_to_decision,balanced_accuracy,AUROC,PR_AUC,Brier,final_decision
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,entropy_weighted,inner_oof,two_sided_confidence_policy,1.0,0.0,53.333333333333336,1.0,0.6000000000000001,0.56,0.4074786324786325,0.3096263133739406,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,entropy_weighted,inner_oof,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.82,0.7166666666666666,0.1694182359847264,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,entropy_weighted,inner_oof,cost_sensitive_online_policy,1.0,0.0,53.333333333333336,1.0,0.6000000000000001,0.56,0.4074786324786325,0.3096263133739406,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,entropy_weighted,inner_oof,target_sensitivity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.82,0.7166666666666666,0.1694182359847264,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,entropy_weighted,inner_oof,target_specificity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.82,0.7166666666666666,0.1694182359847264,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,entropy_weighted,inner_oof,coverage_constrained_policy,1.0,0.0,56.66666666666666,1.0,0.6000000000000001,0.6000000000000001,0.4293040293040293,0.3016401319009568,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,learned_meta_aggregator,fixed_0_5,no_stop_all_evidence,1.0,0.0,6360.066666666667,4.133333333333334,0.65,0.8999999999999999,0.835,0.1147116373786841,diagnostic
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,learned_meta_aggregator,fixed_0_5,fixed_0_5_at_each_prefix,1.0,0.0,50.0,1.0,0.45,0.6200000000000001,0.4805555555555555,0.2474787507112625,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,learned_meta_aggregator,inner_oof,two_sided_confidence_policy,1.0,0.0,56.66666666666666,1.0,0.45,0.6000000000000001,0.4472222222222222,0.3016122033037515,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,learned_meta_aggregator,inner_oof,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.65,0.8999999999999999,0.835,0.1147116373786841,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,learned_meta_aggregator,inner_oof,cost_sensitive_online_policy,1.0,0.0,56.66666666666666,1.0,0.45,0.6000000000000001,0.4472222222222222,0.3016122033037515,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,learned_meta_aggregator,inner_oof,target_sensitivity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.65,0.8999999999999999,0.835,0.1147116373786841,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,learned_meta_aggregator,inner_oof,target_specificity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.65,0.8999999999999999,0.835,0.1147116373786841,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,learned_meta_aggregator,inner_oof,coverage_constrained_policy,1.0,0.0,56.66666666666666,1.0,0.45,0.6000000000000001,0.4472222222222222,0.3016122033037515,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,logit_mean,fixed_0_5,no_stop_all_evidence,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.84,0.7753968253968253,0.1808061112875557,diagnostic
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,logit_mean,fixed_0_5,fixed_0_5_at_each_prefix,1.0,0.0,50.0,1.0,0.65,0.6000000000000001,0.4741452991452991,0.268781707846781,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,logit_mean,inner_oof,two_sided_confidence_policy,1.0,0.0,56.66666666666666,1.0,0.6000000000000001,0.6000000000000001,0.4741452991452991,0.2791479955773562,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,logit_mean,inner_oof,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.84,0.7753968253968253,0.1808061112875557,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,logit_mean,inner_oof,cost_sensitive_online_policy,1.0,0.0,56.66666666666666,1.0,0.6000000000000001,0.6000000000000001,0.4741452991452991,0.2791479955773562,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,logit_mean,inner_oof,target_sensitivity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.84,0.7753968253968253,0.1808061112875557,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,logit_mean,inner_oof,target_specificity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.84,0.7753968253968253,0.1808061112875557,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,logit_mean,inner_oof,coverage_constrained_policy,1.0,0.0,56.66666666666666,1.0,0.6000000000000001,0.6000000000000001,0.4741452991452991,0.2791479955773562,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,mean_probability,fixed_0_5,no_stop_all_evidence,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.8,0.6976190476190476,0.1629435880309439,diagnostic
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,mean_probability,fixed_0_5,fixed_0_5_at_each_prefix,1.0,0.0,50.0,1.0,0.65,0.6000000000000001,0.4741452991452991,0.268781707846781,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,mean_probability,inner_oof,two_sided_confidence_policy,1.0,0.0,56.66666666666666,1.0,0.6000000000000001,0.6000000000000001,0.4741452991452991,0.2819532205965842,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,mean_probability,inner_oof,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.8,0.6976190476190476,0.1629435880309439,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,mean_probability,inner_oof,cost_sensitive_online_policy,1.0,0.0,56.66666666666666,1.0,0.6000000000000001,0.6000000000000001,0.4741452991452991,0.2819532205965842,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,mean_probability,inner_oof,target_sensitivity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.8,0.6976190476190476,0.1629435880309439,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,mean_probability,inner_oof,target_specificity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.8,0.6976190476190476,0.1629435880309439,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,mean_probability,inner_oof,coverage_constrained_policy,1.0,0.0,56.66666666666666,1.0,0.6000000000000001,0.6000000000000001,0.4741452991452991,0.2819532205965842,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,reliability_weighted_probability,fixed_0_5,no_stop_all_evidence,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.8,0.6976190476190476,0.1602873320857279,diagnostic
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,reliability_weighted_probability,fixed_0_5,fixed_0_5_at_each_prefix,1.0,0.0,50.0,1.0,0.65,0.6000000000000001,0.4741452991452991,0.268781707846781,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,reliability_weighted_probability,inner_oof,two_sided_confidence_policy,1.0,0.0,56.66666666666666,1.0,0.6000000000000001,0.6000000000000001,0.4741452991452991,0.2823257103284865,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,reliability_weighted_probability,inner_oof,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.8,0.6976190476190476,0.1602873320857279,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,reliability_weighted_probability,inner_oof,cost_sensitive_online_policy,1.0,0.0,56.66666666666666,1.0,0.6000000000000001,0.6000000000000001,0.4741452991452991,0.2823257103284865,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,reliability_weighted_probability,inner_oof,target_sensitivity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.8,0.6976190476190476,0.1602873320857279,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,reliability_weighted_probability,inner_oof,target_specificity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.8,0.6976190476190476,0.1602873320857279,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,reliability_weighted_probability,inner_oof,coverage_constrained_policy,1.0,0.0,56.66666666666666,1.0,0.6000000000000001,0.6000000000000001,0.4741452991452991,0.2823257103284865,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,uncertainty_weighted_logit,fixed_0_5,no_stop_all_evidence,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.8200000000000001,0.7742424242424242,0.1955347491151948,diagnostic
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,uncertainty_weighted_logit,fixed_0_5,fixed_0_5_at_each_prefix,1.0,0.0,50.0,1.0,0.65,0.6000000000000001,0.4741452991452991,0.268781707846781,useful
